Left Elbow,Right Elbow,Left Knee,Right Knee
89.31843672,58.04777877,154.5324084,91.46962739
119.8291138,58.82125651,155.2332369,98.12934558
124.4986219,86.03488888,152.1772391,104.9584502
92.86441579,64.84930321,153.6809471,104.277991
32.86968638,57.92890849,150.0802705,105.9597966
30.51375819,27.84248977,133.6936333,101.9974125
44.70183545,16.03815862,88.17555617,90.58482839
39.86670486,12.68628501,82.4887997,62.86924086
62.20265003,15.42757554,48.55293985,44.0171402
52.63403331,18.71206004,51.30247314,41.66788724
64.17587166,21.06273318,63.78697719,36.50518
89.98818048,23.14897619,72.84752737,41.46992734
62.80607148,35.16227991,86.98886744,104.510556
62.55380071,81.94161412,125.310365,139.1186414
52.3365225,92.71595195,120.3132718,147.0159623
67.46195648,110.7135475,110.4975032,157.0334212
107.5922872,114.729682,105.6046241,160.5006842
94.45660302,109.3111539,96.55633803,161.6169433
87.577814,101.83266,105.1766627,154.7659133
75.22135786,56.84960294,92.80363396,135.1475649
96.37644179,92.91888002,71.41358061,106.3387456
86.35164018,79.18518108,58.06045813,64.32049331
48.75972063,111.8363147,73.99579631,67.19682829
31.6204891,67.77966618,62.47475832,58.91844432
36.45137662,81.8956062,64.76166175,57.78016822
43.5457645,61.42385735,76.97631668,61.40080507
40.26813618,80.8275017,91.29004871,44.40016129
31.82668054,60.80719247,121.5656892,58.02822705
25.7872938,52.5576413,127.8189473,57.1307856
31.76579612,44.56110662,141.8574882,71.38139783
57.65054353,41.40601163,138.6718466,83.31476563
56.10648377,41.77627532,129.8675676,83.44110736
25.84274068,42.17537364,128.1815074,80.45003979
22.58874206,38.08909831,121.6307722,35.85467513
31.62602386,40.76518874,109.0793573,28.50249888
51.18313854,51.61146406,86.13869356,32.77293845
45.69153503,52.47653245,56.75257876,33.89356615
42.75041722,36.74088721,49.7165316,35.55274451
37.75061301,39.65723712,54.67623191,35.60792756
34.61789602,64.30046517,71.60162098,37.42658802
35.25534943,66.92748765,78.22613649,38.79453646
27.41567698,59.8815598,79.68127076,65.98199153
32.37827641,57.50084775,85.38078896,65.672145
63.8562094,51.2576908,113.7273863,59.41981706
71.50667436,48.65589724,121.6817126,48.85551304
50.42331648,85.86985423,116.6093464,46.61006165
69.58333814,106.9542912,104.3120512,53.2662596
85.67961419,94.58574187,94.37246399,63.38405859
84.25416762,111.8529077,87.03077376,75.23248168
79.98842855,128.9733859,85.14669086,96.58409282
64.37296353,114.0559875,67.47619496,75.80077559
66.24153289,110.0438957,64.30725938,93.4399004
84.74174368,103.6266213,51.01057152,81.95265304
84.5171139,104.0171165,48.34858335,69.36460218
94.19574824,108.3114041,37.07089205,61.85021059
98.64582531,105.6260939,34.0827793,53.1722081
91.48382985,106.6310153,39.70492089,29.897467
94.1223006,108.0355602,44.37502415,38.35772898
92.07414545,106.1855388,48.05345946,39.63727708
100.8808027,104.5588958,54.57997751,48.9686603
98.73173573,101.8716377,65.15843566,73.87585479
104.2036722,104.9727296,63.53057732,87.37623653
110.3629672,103.8018016,74.75223408,115.0998278
113.4174839,106.3677064,75.50059303,119.3375075
107.4163584,110.1899106,72.63470034,118.0017993
112.2975631,111.4308046,71.48284509,123.657372
107.8656555,113.135643,67.68303443,115.5113915
114.3029899,110.9585349,64.75776552,109.7862517
113.1081287,112.3230622,58.96205372,91.53551927
112.6421564,113.6838497,52.5179501,87.30788629
110.9814237,108.2549057,51.44207066,56.52002427
108.1977021,105.0657035,51.04717202,61.98614153
107.0054448,106.9641658,53.15110615,51.75287299
108.3561856,106.529428,66.15520886,58.13473918
109.7767487,106.8544009,78.61074485,44.69581375
112.7861476,114.4756893,89.19082102,35.96212731
113.3351462,115.371797,91.76609445,43.22724545
112.0720961,115.6007545,91.06872754,58.68892948
110.4507252,115.1997147,88.277644,54.82602508
109.6021346,114.761436,86.99359689,51.71305743
109.7218856,113.8408152,80.66677868,56.10568183
108.6226354,111.730805,81.0726205,44.15697451
100.1209918,113.4217922,78.91860815,39.16762445
105.7109633,115.1448574,80.51061367,39.28557892
51.66299996,109.6280603,79.63950707,36.87161455
32.4464156,37.07659308,79.34813531,36.78436112
36.31312348,86.55072464,80.79583722,58.99660192
35.26583639,33.40260427,74.23158243,60.97461753
